region,year,y,l,pop,k,labsh,sub_region,countrycode
Europe,2011,769990.090509588,8.609940494326027,19.340357863636363,4432090.579190341,0.5644380680539391,NA,NA
Europe,2012,765132.2683327415,8.592566841027953,19.38170140909091,4473162.411931818,0.5660818869417364,NA,NA
Europe,2013,765601.8328302557,8.552003286778927,19.420748772727272,4507983.508877841,0.5651667578653856,NA,NA
Europe,2014,778447.8741566051,8.6181067133491691,19.45871668181818,4545537.049360796,0.56228991123763,NA,NA
Europe,2015,796762.1390713778,8.698049898852002,19.49630045454545,4590375.968394887,0.5532236993312836,NA,NA
Europe,2016,813067.7134232954,8.794176676733928,19.53420840909091,4638737.2199928975,0.5597004118290815,NA,NA
Europe,2017,836099.8809037642,8.942630268633366,19.57175109090909,4692210.935546875,0.560046137733893,NA,NA
Europe,2018,854755.6053799716,9.064433313228868,19.606490045454546,4749170.1139914775,0.5645123896273699,NA,NA
Europe,2019,868612.5038174716,9.160885315727104,19.635078545454544,4815733.354048296,0.5645123896273699,NA,NA
Oceania,1979,235030.15234375,3.8179755806922913,8.774148499999999,1115671.6640625,0.6499821543693542,NA,NA
Oceania,1980,163028.86881510416,2.6735755999883017,6.123443666666667,774383.5543619791,0.6526042620340983,NA,NA
Oceania,1981,168820.19205729166,2.6933869123458862,6.197697333333333,803256.96875,0.6559739311536154,NA,NA
Oceania,1982,165853.6443684896,2.6943464825550714,6.278674666666666,825014.822265625,0.6599229375521342,NA,NA
Oceania,1983,173055.46614583334,2.6604392429192862,6.365289,847991.982421875,0.6397916873296102,NA,NA
Oceania,1984,182069.8624674479,2.7367507815361023,6.455561666666667,873953.4290364584,0.6381481885910034,NA,NA
Oceania,1985,188622.6922200521,2.8299282491207123,6.547891333333333,901258.7877604166,0.6275304555892944,NA,NA
Oceania,1986,193548.62727864584,2.9350220412015915,6.642171666666666,926268.0794270834,0.6210272709528605,NA,NA
Oceania,1987,201591.40625,2.9941327373186746,6.738564666666666,953558.0885416666,0.618057370185852,NA,NA
Oceania,1988,208836.11490885416,3.0704624950885773,6.8359923333333334,984287.888671875,0.6021298368771871,NA,NA
Oceania,1989,215614.49609375,3.1608469585577645,6.933179999999999,1013443.3981119791,0.604873538017273,NA,NA
Oceania,1990,215217.2998046875,3.207294096549352,7.029114,1034847.7613932291,0.599561889966329,NA,NA
Oceania,1991,215463.78776041666,3.1441089510917664,7.123603666666666,1051680.5068359375,0.5951833128929138,NA,NA
